country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,DataType,Yearly Change Smoothed(moving-averages),World Urban Population,Population Normalized(min-max),Urban Population Normalized(min-max),Median Age Normalized(z-score),Density Normalized(decimal-scaling),Median Age Binned,Yearly Change Binned,Annual_Population_Growth,Migration_Rate,Dependency_Ratio,3_Year_Pop_Avg,is_outlier
Singapore,2040,6445496,0.0018,11807,27028.0,50.5,1.21,9208,0.994,3478779.0,0.0007,9198847240,Forecasted,1405.0,5925746494,0.003931765,0.003185586,2.137830848,0.09208,Middle-aged Adults,Low,-0.0002610444040719,0.0041933157665445,1.02020202020202,6433402.333333333,True
Singapore,2035,6386461,0.0039,24799,27028.0,48.8,1.21,9124,0.994,3478779.0,0.0007,8887524213,Forecasted,12314.33333,5547549780,0.00389575,0.003185586,1.968161978,0.09124,Middle-aged Adults,Low,-0.0091591089343628,0.0042320778283935,0.953125,6426378.666666667,True
Singapore,2030,6262466,0.006,36740,27028.0,46.8,1.21,8946,0.994,3478779.0,0.0007,8548487400,Forecasted,24448.66667,5159500931,0.003820105,0.003185586,1.768551541,0.08946,Middle-aged Adults,Low,-0.0194152911917884,0.0043158717348724,0.8796992481203008,6364807.666666667,True
Singapore,2025,6078764,0.0077,45684,27028.0,44.6,1.21,8684,0.994,3478779.0,0.0007,8184437460,Forecasted,35741.0,4767618074,0.003708035,0.003185586,1.548980061,0.08684,Middle-aged Adults,Low,-0.0293338119520329,0.0044462986225489,0.8050541516245487,6242563.666666667,True
Singapore,2020,5850342,0.0091,51638,27028.0,42.2,1.21,8358,0.994,3478779.0,0.0008,7794798739,Forecasted,44687.33333,8732896403,0.003568683,0.003185586,1.309447538,0.08358,Middle-aged Adults,Low,-0.0375770469128263,0.0046199008536594,0.7301038062283737,6063857.333333333,True
Singapore,2020,5850342,0.0079,46005,27028.0,42.2,1.21,8358,0.994,3478779.0,0.0008,7794798739,Historical,47775.66667,8732896403,0.003568683,0.003185586,1.309447538,0.08358,Middle-aged Adults,Low,0.0,0.0046199008536594,0.7301038062283737,5926482.666666667,True
Singapore,2019,5804337,0.0081,46838,27028.0,40.2,1.23,8292,0.994,3478779.0,0.0008,7713468100,Historical,48160.33333,4277723521,0.003540617,0.003185586,1.109837101,0.08292,Middle-aged Adults,Low,-0.0078636428434439,0.0046565180484868,0.6722408026755853,5835007.0,True
Singapore,2018,5757499,0.0087,49458,27028.0,40.2,1.23,8225,0.994,3478779.0,0.0008,7631091040,Historical,47433.66667,4209305915,0.003512043,0.003185586,1.109837101,0.08225,Middle-aged Adults,Low,-0.0080694832157401,0.0046943994258618,0.6722408026755854,5804059.333333333,True
Singapore,2017,5708041,0.0096,54407,27028.0,40.2,1.23,8154,0.994,3478779.0,0.0008,7547858925,Historical,50234.33333,4130196596,0.003481871,0.003185586,1.109837101,0.08154,Middle-aged Adults,Low,-0.0085901882049828,0.0047350746079083,0.6722408026755854,5756625.666666667,True
Singapore,2016,5653634,0.011,61482,27028.0,40.2,1.23,8077,0.994,5622455.0,0.0008,7464022049,Historical,55115.66667,4053027738,0.003448679,0.005148592,1.109837101,0.08077,Middle-aged Adults,Low,-0.0095316414160304,0.0047806419729328,0.6722408026755854,5706391.333333333,True
